class_id,class_name,metric,clean,40dB,30dB,20dB,10dB,0dB
18,"Harm + Sag + Flicker",kappa,0.9932,0.9898,0.9863,0.9598,0.6864,0.3525
19,"Harm + Swell + Flicker",kappa,0.9359,0.9327,0.9331,0.8874,0.5363,0.1784
20,"Sag + Harm + Flicker",kappa,0.2935,0.3096,0.3163,0.3149,0.3430,0.1471
21,"Swell + Harm + Flicker",kappa,0.3681,0.3586,0.3340,0.3322,0.3041,0.1184
22,"Sag + Harm + OT",kappa,0.3043,0.3077,0.2903,0.3180,0.2936,0.1354
23,"Swell + Harm + OT",kappa,0.4335,0.4364,0.4359,0.3739,0.2912,0.1029
24,"Harm + Sag + OT",kappa,0.9796,0.9829,0.9796,0.9588,0.7720,0.2807
25,"Harm + Swell + OT",kappa,0.9588,0.9654,0.9723,0.9436,0.5497,0.1428
26,"Harm + Sag + Flicker + OT",kappa,0.9752,0.9754,0.9683,0.9535,0.7039,0.2105
27,"Harm + Swell + Flicker + OT",kappa,0.9087,0.9049,0.9079,0.8524,0.5084,0.1351
28,"Sag + Harm + Flicker + OT",kappa,0.4739,0.4774,0.4789,0.4983,0.3964,0.1694
29,"Swell + Harm + Flicker + OT",kappa,0.4526,0.4653,0.4177,0.4023,0.2668,0.0858
